                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.4472,                0.96581,                 1.2829,                0.97497,                0.73333,                0.80587,                0.39644,                 1.7168,                0.90334,                  1.253,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.5564,                0.92224,                 1.3471,                0.80502,                    0.7,                0.76142,                0.35699,                 1.9243,                0.98031,                 1.3597,                0.00134,                0.00134,                0.00134
                    102,                 1.5321,                0.92533,                 1.3341,                0.90958,                0.73333,                0.79392,                0.36937,                 1.8556,                0.83949,                 1.3089,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.5179,                0.90605,                 1.3235,                0.84828,                0.74555,                0.79307,                0.36561,                 1.8881,                0.95452,                 1.2949,              0.0013268,              0.0013268,              0.0013268
                    104,                  1.345,                 1.0188,                  1.234,                0.88353,                0.71667,                0.78198,                0.39497,                 1.7612,                0.96632,                 1.2736,              0.0013202,              0.0013202,              0.0013202
                    105,                  1.503,                0.97903,                 1.2914,                0.80116,                0.76667,                0.81234,                0.38255,                  1.623,                 1.0889,                 1.2554,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.4131,                0.85886,                 1.2511,                0.87855,                0.72349,                 0.7641,                0.36599,                 1.6328,                 0.8683,                 1.2816,               0.001307,               0.001307,               0.001307
                    107,                  1.516,                 0.9037,                  1.318,                0.87192,                   0.75,                0.77799,                0.36962,                 1.8761,                 1.0289,                 1.2928,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.4849,                0.89239,                 1.2796,                0.91507,                0.71836,                0.77762,                0.39075,                 1.6758,                0.90465,                 1.2632,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.4708,                0.87775,                  1.288,                0.92586,                0.73333,                0.79513,                0.36811,                 1.6537,                0.86701,                 1.2644,              0.0012872,              0.0012872,              0.0012872
                    110,                  1.447,                 0.8177,                 1.3093,                0.84108,                0.71667,                0.76549,                0.33412,                 1.8747,                0.97067,                 1.3328,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.3625,                0.82283,                 1.2749,                0.82504,                0.78333,                0.79911,                0.37706,                 1.7335,                0.86117,                 1.3197,               0.001274,               0.001274,               0.001274
                    112,                 1.3977,                0.83822,                  1.336,                0.80142,                0.67269,                0.74892,                 0.3409,                 1.7675,                0.97674,                  1.247,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.3638,                0.88852,                 1.2652,                0.81147,                    0.7,                0.77047,                0.37021,                 1.8435,                0.96813,                 1.2894,              0.0012608,              0.0012608,              0.0012608
                    114,                  1.395,                0.82856,                 1.2728,                0.86785,                0.66667,                0.75622,                 0.3468,                 1.8595,                 1.0061,                 1.3205,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.4686,                0.84352,                 1.3108,                0.95443,                0.69815,                0.78587,                0.38346,                 1.6703,                0.86703,                   1.24,              0.0012476,              0.0012476,              0.0012476
                    116,                  1.438,                0.88133,                 1.2871,                0.85419,                0.78115,                0.81184,                0.37926,                 1.6754,                0.83331,                  1.271,               0.001241,               0.001241,               0.001241
                    117,                 1.5351,                0.88834,                 1.2661,                0.86483,                    0.7,                0.74672,                0.37505,                 1.6909,                0.87803,                 1.2735,              0.0012344,              0.0012344,              0.0012344
                    118,                  1.464,                0.86251,                 1.2904,                0.97531,                0.65838,                0.77558,                 0.3555,                 1.7574,                0.98654,                 1.3315,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.4599,                0.80557,                 1.2263,                0.89963,                0.68333,                 0.7514,                0.36286,                  1.782,                0.85496,                 1.2611,              0.0012212,              0.0012212,              0.0012212
                    120,                 1.3727,                0.82751,                 1.2855,                 0.7407,                0.73333,                 0.7625,                0.37228,                 1.9463,                0.90727,                 1.3162,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.3689,                0.87274,                 1.3195,                0.87545,                0.71667,                0.79382,                 0.3862,                 1.7184,                0.97255,                 1.2509,               0.001208,               0.001208,               0.001208
                    122,                 1.4402,                0.81808,                 1.2521,                0.88492,                0.76897,                0.83125,                0.39022,                 1.8298,                 0.9092,                 1.2734,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.3483,                0.83635,                 1.2711,                0.86812,                0.76797,                0.82241,                0.40291,                 1.6709,                0.82483,                 1.2533,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.4509,                0.85216,                 1.2886,                0.96494,                0.73333,                0.84478,                0.41666,                 1.6819,                0.82685,                  1.223,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.3682,                 0.7851,                 1.2913,                0.92959,                0.71667,                 0.7878,                0.40841,                  1.707,                 0.7778,                 1.2758,              0.0011816,              0.0011816,              0.0011816
                    126,                  1.372,                0.79783,                 1.2542,                0.90159,                0.76351,                0.82916,                0.38966,                 1.8115,                0.85624,                 1.2983,               0.001175,               0.001175,               0.001175
                    127,                 1.3793,                0.79863,                  1.254,                0.80481,                   0.75,                0.76677,                0.39142,                  1.778,                0.88908,                 1.2782,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.3463,                0.78128,                 1.2071,                0.92575,                0.76667,                0.83344,                0.41761,                 1.6972,                0.74655,                 1.2543,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.3674,                0.78104,                 1.2736,                0.93592,                0.73027,                0.80075,                0.38718,                 1.5554,                0.80962,                  1.216,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.3966,                0.82173,                 1.2788,                0.84508,                0.78333,                0.84117,                0.41039,                 1.6626,                0.84612,                  1.229,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.3538,                 0.7627,                 1.2457,                0.91217,                0.71667,                 0.8091,                0.40485,                 1.6409,                  0.822,                 1.2812,               0.001142,               0.001142,               0.001142
                    132,                 1.3008,                0.76632,                 1.2509,                 0.8165,                    0.7,                0.77638,                0.39358,                 1.6284,                0.91744,                 1.2196,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.3447,                0.73089,                 1.2444,                0.88003,                    0.7,                0.78821,                0.38044,                 1.6062,                0.81559,                  1.217,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.3836,                0.79673,                 1.2481,                0.93156,                0.68067,                0.73936,                0.37435,                  1.638,                0.91023,                 1.2937,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.3187,                 0.7843,                 1.2256,                0.85242,                0.67392,                0.76034,                 0.3676,                 1.5825,                0.84266,                 1.2958,              0.0011156,              0.0011156,              0.0011156
